,0,1,2
0,acak-acakan,adu,adu domba
1,aib,akal bulus,alasan saja
2,alibi,aliran,amatir
3,ambisi,ambisius,ambruk
4,amburadul,ampas,amputasi
5,amuk,anarkis,ancam
6,ancaman,aneh,angin kencang
7,apa boleh buat,apatis,asal
8,babak belur,bacokan,bagaimana mau
9,bagaimana mungkin,bahaya,bahayakan
10,bakteri,baku hantam,balas dendam
11,bandel,bangkai,bangkrut
12,bangsat,banjir,bantah
13,bantai,banyak cincong,banyak cingcong
14,banyak pertanyaan,banyak tingkah,barbar
15,barbarisme,basi,batal
16,batalkan,batuk-batuk,bawah tangan
17,bebal,beber,bekeluyuran
18,bekoar,belingsatan,belum begitu dekat
19,bencana,bengis,bengkak
20,beracun,berakal bulus,beralkohol
21,berantakan,berbahaya,berbanding terbalik
22,berbantah-bantahan,berbantahan,berbelit-belit
23,berbenturan,berbohong,berborok
24,bercampur aduk,berdaki,berdalih
25,berdarah,berdarah dingin,berdebat
26,berdemo,berdemonstrasi,berdesak-desakan
27,berdesakan,berdosa,berduka cita
28,berdusta,beresiko,berfoya-foya
29,bergelandangan,bergentayangan,bergidik
30,bergontok-gontokan,bergontokan,bergosip
31,bergunjing,berhamburan,berhantu
32,berhura-hura,berhutang,beriba-iba
33,berimbas,berimpitan,beringas
34,berisik,berisiko,berjangkit
35,berjatuhan,berjejal,berjudi
36,berkabung,berkacak pinggang,berkasak-kusuk
37,berkecamuk,berkecil hati,berkedok
38,berkelahi,berkelainan,berkeliaran
39,berkelit,berkeluyuran,berkerut
40,berkhalwat,berkhianat,berkilah
41,berkoar,berkoar-koar,berkolusi
42,berkomplot,berkonflik,berkongkalikong
43,berkotor-kotor,berkuman,berkunang-kunang
44,berkutu,berlagak,berlawanan
45,berlebih-lebihan,berlebihan,berleha-leha
46,berliku,berliku-liku,berlinang
47,berlinangan,berlubang,berlubang-lubang
48,bermadat,bermadu,bermasalah
49,bermegah-megah,bermesum,bermewah-mewah
50,bermewah-mewahan,bermuram,bermusuhan
51,bernafsu,bernoda,berolok-olok
52,berpaling,berpangku tangan,berpecah belah
53,berpenyakit,berpidana,berpisah
54,berpolemik,berpongah-pongah,berprasangka
55,berprasangka buruk,berpretensi,berpropaganda
56,berpura-pura,berpusing-pusing,bersalah
57,bersandiwara,bersikut-sikutan,bersikutan
58,bersilang sengketa,bersilangan,bersilat lidah
59,bersimpang siur,bersinggungan,bersitegang
60,berspekulasi,bersungut,bersungut-sungut
61,bersusah hati,bersyubhat,bertabrakan
62,bertanggung jawab,bertele-tele,bertengkar
63,bertentangan,berteriak,berteriak-teriak
64,bertikai,bertingkah,bertubrukan
65,bertumpang tindih,bertumpang-tindih,berulah
66,berulat,berunjuk rasa,berurusan
67,berusuh,berutang,berzina
68,berzinah,biadab,biang keladi
69,biang kerusuhan,biangnya,bimbang
70,binasa,bingung,bintik
71,blak-blakan,blokir,bocor
72,bocoran,bodoh,bogem
73,bohong,boikot,bokek
74,bolak-balik,bolong-bolong,bolos
75,bom,bombardir,bordil
76,borgol,borjuis,boro-boro
77,borok,borokan,boros
78,bosan,bt,bual
79,bualan,buangan,buas
80,bukan-bukan,buku hitam,bulan tua
81,bulan-bulanan,bulukan,bungkam
82,buntu,bunuh,bunuh diri
83,buron,buronan,buruh kasar
84,buruk,buruk sangka,busuk
85,busung lapar,buta huruf,butut
86,buyar,cabik,cabul
87,cacat,caci,caci maki
88,cacian,cacing,campur aduk
89,candu,canggung,cape
90,cape hati,capek,capek hati
91,caplok,cari muka,cari saja sendiri
92,cari sendiri,cari-cari kesalahan,carut
93,carut-marut,catut,catutan
94,cecar,cecaran,cedera
95,cek kosong,cekak,cekal
96,cekcok,cela,celaan
97,celaka,cemarkan,cemas
98,cemaskan,cemberut,cemburu
99,cemburuan,cengeng,cerai
100,cerai-berai,cercaan,ceroboh
101,cibir,cibiran,cidera
102,cincong,colong,comel
103,comelan,compang-camping,congkak
104,contek,contekan,copet
105,coreng,coreng-moreng,cuci otak
106,cuci uang,culik,cuma
107,curang,curi,curian
108,curiga,curigaan,dablek
109,dadakan,daftar hitam,daif
110,dajal,daki,dakwa
111,dakwaan,dalih,dampak
112,damprat,dampratan,dana talangan
113,darah dingin,darah tinggi,dauf
114,defisit,degenerasi,degeneratif
115,degradasi,dehidrasi,dekil
116,demo,demonstran,demonstrasi
117,demoralisasi,dendam,dendam kesumat
118,dengki,deportasi,derita
119,desak,desakan,desas-desus
120,destruksi,detonasi,detonator
121,deviasi,dhaif,dhalim
122,dholim,dhuafa,di bawah sadar
123,di bawah umur,diabaikan,diacak-acak
124,diadili,diadu domba,diadudombakan
125,diam-diam,diamankan,diamlah
126,diancam,diawasi,dibacok
127,dibakar,dibanding-bandingkan,dibangkrutkan
128,dibantah,dibantai,dibatalkan
129,dibatasi,dibawa kabur,dibawa-bawa
130,dibayang-bayangi,dibebankan,dibeberkan
131,dibeda-bedakan,dibelenggu,dibinasakan
132,diblokir,dibocorkan,dibodohi
133,dibohongi,diboikot,dibom
134,dibombardir,diborgol,dibuang
135,dibuat lagi,dibuat-buat,dibubarkan
136,dibungkam,dibunuh,dibutakan
137,dibuyarkan,dicabik,dicabik-canik
138,dicabuli,dicaci,dicaci maki
139,dicambuk,dicampakkan,dicampur aduk
140,dicampuradukkan,dicaplok,dicatut
141,dicecar,dicekal,dicekam
142,dicekik,dicela,dicelakai
143,dicemari,dicemaskan,dicemburui
144,dicerca,dicibir,dicolong
145,dicontek,dicopet,dicopot
146,dicoreng,dicuci otak,dicurangi
147,dicuri,dicurigai,didakwa
148,didakwakan,didalangi,didamprat
149,didepak,dideportasi,didera
