,0,1,2
0,absah,absolut,acuan
1,afdol,ahli,akademisi
2,akan bayar,akbar,akrab
3,aktif,aktualisasi,akur
4,akurat,alami,alamiah
5,alhamdulillah,alim,alim ulama
6,amal,amal jariah,aman
7,aman-aman,amboi,ampuh
8,anak emas,andal,andalan
9,anggukan,anggun,animo
10,anjuran,anteng,antusias
11,antusiasme,anugrah,apresiasi
12,arahan,atensi,ayo
13,bagus,bahagia,bahagiakan
14,bahagian,bahu-membahu,baik
15,baik-baik,bajik,bakat
16,bakti,bala bantuan,balas budi
17,balas jasa,bangga,bangkit
18,bantu,bantuan,banyak
19,banyak-banyak,beasiswa,bebas banjir
20,bebas hambatan,bebas murni,becus
21,bekal,beken,bekerja keras
22,bekerja sama,belajar,belas kasih
23,benah,benar,bening
24,berakal,berakhlak,beramal
25,beraneka ragam,berangkulan,berani
26,berbagi,berbahagia,berbaikan
27,berbakat,berbakti,berbangga
28,berbinar-binar,berbobot,berbudaya
29,berbudi,berbunga-bunga,bercahaya
30,berdamai,berdaulat,berdaya
31,berdaya guna,berdaya upaya,berdecak kagum
32,berdikari,berempati,beretika
33,beretiket,berfaedah,berfungsi
34,bergandengan,bergizi,bergotong-royong
35,berguna,berhadiah,berharap
36,berharga,berhasil,berhemat
37,berihtiar,berijtihad,berikhtiar
38,berikrar,beriktikad,beriman
39,berimbang,berinisiatif,berinovasi
40,beritikad,berjaya,berkembang pesat
41,berkesinambungan,berkhasiat,berkibar
42,berkontribusi,berkoordinasi,berkreasi
43,berkualitas,berlimpah,bermaaf-maafan
44,bermanfaat,berminat,bermoral
45,bermusyawarah,berniat,berolah raga
46,berpeluang,berpelukan,berpengalaman
47,berprestasi,bersabar,bersahabat
48,bersahaja,bersalam-salaman,bersalaman
49,bersama,bersama-sama,bersatu
50,bersatu padu,bersedia,bersesuaian
51,bersilaturahmi,bersimpati,bersinergi
52,bersopan santun,bersorak,bersorak sorai
53,bersosialisasi,bersukaria,bersyukur
54,bertahan,bertahap,bertalenta
55,bertasawuf,bertasbih,bertasyakur
56,bertaubat,bertawakal,bertekad
57,bertepa salira,berterima kasih,berterus terang
58,bertobat,beruntung,berupaya
59,berusaha,berwawasan,berwibawa
60,berzakat,berzikir,betul
61,bhinneka,bibit unggul,bijak
62,bijaksana,bintang kelas,bintang lapangan
63,bintang panggung,bisa,bismillah
64,bombastis,bonafid,bonafide
65,bonafit,bonus,brilian
66,buah hati,buah karya,budi pekerti
67,budiman,cakap,cakep
68,canggih,cekatan,cemerlang
69,cendekia,cendekiawan,cepat
70,cerdas,cerdik,ceria
71,cermat,cermati,cita
72,cita-cita,cocok,cukup
73,cuma-cuma,damai,daur ulang
74,daya guna,daya gunakan,daya upaya
75,decak kagum,demokrasi,demokratis
76,devisa,dewasa,diaktifkan
77,diakui,diakurkan,diamini
78,diaminkan,diandalkan,dianjurkan
79,dianugerahi,dianugerahkan,dianugrahkan
80,diarahkan,dibaguskan,dibahagiakan
81,dibaikkan,dibanggakan,dibantu
82,dibekali,dibekalkan,dibela
83,dibenahi,diberdayakan,diberitahu
84,dibina,dicapai,dicerdaskan
85,diceriakan,dicermati,dicermatkan
86,didamaikan,didaur ulang,didayagunakan
87,didayaupayakan,didik,didonasikan
88,didonorkan,diedukasi,diedukasikan
89,diefektifkan,difavoritkan,digalakkan
90,digandrungi,digapai,digratiskan
91,dihadiahi,dihadiahkan,dihargai
92,diharmoniskan,dihemat,dihibur
93,dihijaukan,dihormati,dikaji kembali
94,dikakgumi,dikaruniai,dikaruniakan
95,dikaryakan,dikasihi,diketahui
96,diklarifikasi,dikokohkan,dikukuhkan
97,dilancarkan,dilanggengkan,dilapangi
98,dilapangkan,dilegakan,dilerai
99,dilestarikan,dilimpahkan,dilindungi
100,diluhurkan,dilunasi,dimaafkan
101,dimerdekakan,diminati,dimotivasi
102,dimudahkan,dimuliakan,dioptimalkan
103,dipahami,dipathui,dipatuhi
104,dipelajari,dipenuhi,diperbagus
105,diperbaiki,diperbantukan,diperbarui
106,diperbenar,dipercakap,dipercakep
107,dipercanggih,dipercantik,dipercaya
108,dipercepat,diperdamai,diperelok
109,dipererat,diperkenankan,diperlancar
110,diperlapang,dipermudah,dipersatukan
111,dipersolid,dipertampan,diprioritaskan
112,diproses,dipuaskan,dipulihkan
113,diraih,dirampungkan,dirangkul
114,dirapihkan,dirapikan,dirawat
115,direnungi,direnungkan,direstui
116,diridai,diridhai,diridhoi
117,diridoi,dirohmati,dirukunkan
118,disadarkan,disanjung,disanjung-sanjung
119,disantuni,disapu bersih,disatukan
120,disayangi,diserahkan,disetujui
121,disingsingkan,disolidkan,distabilkan
122,disterilkan,distimulasi,disubsidi
123,disucikan,disukai,disukseskan
124,disyukuri,ditaati,ditabahkan
125,ditauladani,ditekuni,diteladani
126,ditenangkan,ditenteramkan,ditentramkan
127,ditepati,diterangi,diterima
128,ditertibkan,ditindaklanjuti,ditolong
129,dituntun,diunggulkan,diuntungkan
130,diupayakan,diusahakan,diutamakan
131,doakan,donasi,donatur
132,donor,dorong,dukungan
133,dzikir,edukasi,edukatif
134,efektif,efisien,ekonomis
135,ekspres,elegan,elite
136,elok,eloknya,empati
137,enak,enak-enak,enteng
138,esensial,estetik,estetis
139,etis,evaluasi,faedah
140,fakta,faktual,fantastis
141,fasih,favorit,fenomenal
142,final,fitrah,gagah
143,gampang,ganteng,gapai
144,gegap gempita,gemilang,genius
145,genjot,giat,gigih
146,gilang-gemilang,gotong-royong,gratis
147,gunanya,hadiah,hak mutlak
148,hakikat,hakiki,halal
149,halal bihalal,halalbihalal,handal
150,happy,harapan,harapkan
151,harmoni,harmonis,harmonisasi
152,hebat,heroik,hibah
153,hibur,hidayah,hidmat
154,hidup,higienis,hikmah
155,hits,hoki,hore
156,hormat,hormat-menghormati,hormati
157,humoris,husnul khatimah,ibadah
158,ideal,ihsan,ihtiar
159,ijtihad,ikhlas,ikhtiar
160,iktikad,ilmiah,iman
161,impresif,imut-imut,indah
162,informatif,inisiatif,inovasi
163,inovatif,inovator,insaf
164,insan,insan kamil,insentif
165,inspirasi,insya allah,integritas
166,intelek,intelektual,inteligensi
167,inteligensia,intensif,irit
168,islami,istikharah,istimewa
169,istiqamah,itikad,itikaf
170,izin,jago,jagoan
171,jangan dulu,jawaban,jelas
172,jelaskan,jempolan,jenius
173,juara,jujur,kagum
174,kaji,kamil,kampiun
175,kapabel,karib,karisma
176,karismatik,karunia,kasih
177,keakraban,keanggunan,kebaikan
178,kebajikan,kebanggaan,kebenaran
179,keberhasilan,kebersamaan,keberuntungan
180,kebulatan suara,kebulatan tekad,kecakapan
181,kecekatan,kecemerlangan,keelokan
182,kegemilangan,kegeniusan,kegigihan
183,kehebatan,kehormatan,keikhlasan
184,keindahan,keistimewaan,kejayaan
185,kejelasan,kejeniusan,kejujuran
186,kekaguman,kekeluargaan,kekhidmatan
187,kekhusukan,kekhusyukan,kelancaran
188,kelapangan,kelebihan,kelembutan
189,kelezatan,kemajuan,kemakmuran
190,kemampuan,kemandirian,kemantapan
191,kemenangan,kemeriahan,kemudahan
192,kemuliaan,kenikmatan,kenyamanan
193,kepedulian,kepercayaan,keramahan
194,keren,keridaan,keridhaan
195,keridhoan,keridoan,kerja
196,kerukunan,kesabaran,kesanggupan
197,keselarasan,kesepakatan,kesesuaian
198,keshalehan,kesinambungan,kesopanan
199,kesuksesan,ketaatan,ketabahan
200,ketawakalan,ketegarab,ketekunan
201,keteladanan,ketenangan,ketentraman
202,keterbukaan,ketertiban,keunggulan
203,keuntungan,kewajiban,kewenangan
204,keyakinan,kharisma,kharismatik
205,khidmat,khusyuk,klarifikasi
206,kokoh,kolaborasi,komersial
207,komfortabel,komitmen,kompak
208,kompatibel,kompeten,kompetensi
209,komplet,komprehensif,komunikasi
210,komunikatif,kondusif,konfirmasi
211,konform,konkret,konsisten
212,konsistensi,konstan,kontinu
213,kooperatif,koordinasi,kreasi
214,kreatif,kreativitas,kuat
215,lailatul kadar,lailatul qadar,lailatulkadar
216,lailatulqadar,lancar,langgeng
217,langsing,laporkan,layak
218,lega,legal,legendaris
219,leluasa,lembut,lerai
220,lezat,lincah,logis
221,lolos,loyal,loyalitas
222,luar biasa,lucu,luhur
223,lulus,lunas,luwes
224,mabrur,mahir,maju
225,makan,makmur,mampu
226,mandiri,manfaat,manjur
227,mantap,masuk akal,masukan
228,masyhur,megah,melancarkan
229,melanggengkan,melapangkan,melaporkan
230,melegakan,melerai,meleraikan
231,melestarikan,melezatkan,melindungi
232,meluhurkan,melunasi,meluruskan
233,memaafkan,memadai,memahami
234,memajukan,memakmurkan,memantapkan
235,mematuhi,membaguskan,membahagiakan
236,membaik,membalas budi,membanggakan
237,membangkitkan,membangun,membantu
238,membawa revolusi,membenahi,memberbaiki
239,memberdayakan,memberi kesempatan,memberikan kesempatan
240,membesarkan,membetulkan,membulatkan hati
241,membulatkan tekad,memenagkan,memenangkan
242,memenuhi,memenuhi persyaratan,memerdekakan
243,memopulerkan,memotivasi,memperaman
244,memperbagus,memperbaiki,memperbantukan
245,memperbarui,mempercanggih,mempercantik
246,mempercerdas,memperdamai,mempererat
247,memperhatikan,memperindah,memperlancar
248,memperlapang,mempermudah,mempersatukan
249,mempersiapkan,mempersolid,mempersukses
250,mempertampan,mempertemukan,mempertimbangkan
251,memuaskan,memudahkan,memuji
252,memukau,memuliakan,memulihkan
253,memurnikan,memusyawarahkan,menaati
254,menakjubkan,menang,menarik
255,menauladani,mencerahkan,mencerdaskan
256,menceriakan,mendamaikan,mendapat tempat
257,mendayagunakan,mendayaupayakan,mendonasikan
258,mendonorkan,mendorong,mendukung
259,menegakkan,meneladani,menenangkan
260,menengahi,menentramkan,menepati
261,menerima,menertibkan,menetapkan
262,mengagumi,mengagumkan,mengakrabkan
263,mengakurkan,mengamankan,mengandalkan
264,menganjurkan,mengantisipasi,menganugerahi
265,menganugrahi,menganugrahkan,mengasah
266,mengedukasi,mengedukasikan,mengefektifkan
267,mengerti,menggalakkan,menggapai
268,menggenjotkan,menggiatkan,menggugah
269,menghadiahkan,menghadiri,menghargai
270,mengharmoniskan,mengharu biru,mengharukan
271,mengharumkan,menghayati,menghemat
272,menghentikan,menghibur,menghijaukan
273,menghormati,mengilhami,mengimbangi
274,mengingatkan,menginovasikan,menginsafi
275,menginsafkan,menginspirasi,menginspirasikan
276,mengisi,mengokohkan,mengoptimalkan
277,mengukuhkan,mengulurkan tangan,mengungguli
278,mengungkap,mengungkap kasus,menguntungkan
279,mengupayakan,mengusahakan,menimba ilmu
280,menindak,menindaklanjuti,meningkat
281,meningkatkan,menjadi sama,menjaga
282,menjaring,menjawab,menjembatani
283,menjernihkan,menjinakkan,menjiwai
284,menolong,menstabilkan,mensucikan
285,mensyukuri,mentaati,menunaikan
286,menunjang,menuntun,menyadari
287,menyadarkan,menyayangi,menyeimbangkan
288,menyelamatkan,menyelaraskan,menyelesaikan
289,menyesuaikan,menyetujui,menyinergikan
290,menyingkronkan,menyingsingkan,menyinkronkan
291,menyucikan,menyukai,menyukseskan
292,merahmati,meraih,merampungkan
293,merangkul,merapihkan,merapikan
294,merawat,merdu,meremajakan
295,merenungi,merenungkan,merestui
296,meriah,meridai,meridhai
297,meridhoi,meridoi,meringankan
298,merohmati,merukunkan,momentum
299,motivasi,mudah,mudah-mudahan
300,mufakat,mujarab,mujur
301,mulia,multi fungsi,multi guna
302,multifungsi,multiguna,mulus
303,mumpuni,murah,murni
304,mustajab,musyawarah,mutakhir
305,naik,ngetop,ngetren
306,nikmat,nilai tambah,nomor wahid
307,normal,nyaman,objektif
308,obyektif,ok,optimal
309,optimis,optimisme,optimistis
310,orisinal,orisinalitas,orisinil
311,pahlawan,pakar,pandai
312,pantas,panutan,patroli
313,patuh,peduli,pegangan
314,pejuang,pekerti,pelancaran
315,pelayanan,peleraian,pelestarian
316,pelipur,pemaaf,pemantapan
317,pembangunan negara,pembangunan umat,pembaruan
318,pembenahan,pemberdayaan,pembulatan tekad
